Time,Arm_Angle,Error,MotorCmd,Headroom,K_P,Motor_Speed(PWM),Desired_Angle
0.019949675,-44,14,93,340,2,65,-30
0.041940451,-44,14,93,340,2,65,-30
0.064824104,-44,14,93,340,2,65,-30
0.084772825,-43,13,92,340,2,65,-30
0.106713295,-44,14,93,340,2,65,-30
0.125660896,-44,14,93,340,2,65,-30
0.146606207,-44,14,93,340,2,65,-30
0.168547392,-43,13,91,340,2,65,-30
0.187497616,-44,14,93,340,2,65,-30
0.207443237,-44,14,93,340,2,65,-30
0.230393171,-44,14,93,340,2,65,-30
0.252334118,-43,13,92,340,2,65,-30
0.273267508,-44,14,93,340,2,65,-30
0.294212103,-44,14,93,340,2,65,-30
0.314232826,-44,14,93,340,2,65,-30
0.335102797,-44,14,93,340,2,65,-30
0.357044458,-44,14,93,340,2,65,-30
0.375990868,-44,14,93,340,2,65,-30
0.395937204,-44,14,93,340,2,65,-30
0.417894125,-44,14,93,340,2,65,-30
0.436863661,-44,14,93,340,2,65,-30
0.461760521,-44,14,93,340,2,65,-30
0.482708216,-44,14,93,340,2,65,-30
0.502651691,-44,14,93,340,2,65,-30
0.523596287,-44,14,93,340,2,65,-30
0.544572592,-44,14,93,340,2,65,-30
0.564526558,-44,14,93,340,2,65,-30
0.584467173,-44,14,93,340,2,65,-30
0.605403423,-44,14,93,340,2,65,-30
0.625325441,-44,14,93,340,2,65,-30
0.651255369,-44,14,93,340,2,65,-30
0.670203447,-44,14,93,340,2,65,-30
0.691156864,-44,14,93,340,2,65,-30
0.712124586,-44,14,93,340,2,65,-30
0.732041597,-44,14,93,340,2,65,-30
0.752035856,-44,14,93,340,2,65,-30
0.772961855,-44,14,93,340,2,65,-30
0.864716291,-44,14,93,340,2,65,-30
0.886659861,-44,14,93,340,2,65,-30
0.896718025,-44,14,93,340,2,65,-30
0.918576241,-44,14,93,340,2,65,-30
0.929593086,-44,14,93,340,2,65,-30
0.941479445,-44,14,93,340,2,65,-30
0.962435484,-44,14,93,340,2,65,-30
0.97342515,-44,14,93,340,2,65,-30
0.995334625,-44,14,93,340,2,65,-30
1.006305933,-44,14,93,340,2,65,-30
1.028246641,-44,14,93,340,2,65,-30
1.038254499,-44,14,93,340,2,65,-30
1.059164524,-44,14,93,340,2,65,-30
1.069172621,-43,13,92,340,2,65,-30
1.091076851,-44,14,93,340,2,65,-30
1.109029293,-44,14,93,340,2,65,-30
1.128977299,-44,14,93,340,2,65,-30
1.151928902,-44,14,93,340,2,65,-30
1.169866323,-44,14,93,340,2,65,-30
1.190810442,-44,14,93,340,2,65,-30
1.215744734,-44,14,93,340,2,65,-30
1.235691071,-44,14,93,340,2,65,-30
1.256633759,-44,14,93,340,2,65,-30
1.278576612,-44,14,93,340,2,65,-30
1.297525644,-44,14,93,340,2,65,-30
1.318469763,-44,14,93,340,2,65,-30
1.340411425,-44,14,93,340,2,65,-30
1.358363152,-44,14,93,340,2,65,-30
1.379307747,-44,14,93,340,2,65,-30
1.404239655,-44,14,93,340,2,65,-30
1.424185753,-44,14,93,340,2,65,-30
1.445129156,-44,14,93,340,2,65,-30
1.466078281,-44,14,93,340,2,65,-30
1.486020803,-44,14,93,340,2,65,-30
1.50597024,-44,14,93,340,2,65,-30
1.528906107,-44,14,93,340,2,65,-30
1.546859503,-44,14,93,340,2,65,-30
1.567894459,-44,14,93,340,2,65,-30
1.591737747,-44,14,93,340,2,65,-30
1.612682819,-44,14,93,340,2,65,-30
1.633662939,-44,14,93,340,2,65,-30
1.653572083,-44,14,93,340,2,65,-30
1.674516201,-44,14,93,340,2,65,-30
1.694462538,-44,14,93,340,2,65,-30
1.716404438,-44,14,93,340,2,65,-30
1.735356331,-44,14,93,340,2,65,-30
1.756296873,-44,14,93,340,2,65,-30
1.78023243,-44,14,93,340,2,65,-30
1.801189661,-43,13,92,340,2,65,-30
1.823151112,-44,14,93,340,2,65,-30
1.842067719,-44,14,93,340,2,65,-30
1.863054514,-44,14,93,340,2,65,-30
1.943828106,-43,13,92,340,2,65,-30
1.967793465,-44,14,93,340,2,65,-30
1.978703022,-44,14,93,340,2,65,-30
1.989673853,-44,14,93,340,2,65,-30
2.011614323,-44,14,93,340,2,65,-30
2.02258563,-44,14,93,340,2,65,-30
2.043563843,-44,14,93,340,2,65,-30
2.054498434,-44,14,93,340,2,65,-30
2.076455355,-44,14,93,340,2,65,-30
2.087444305,-44,14,93,340,2,65,-30
2.097487688,-44,14,93,340,2,65,-30
2.118411303,-44,14,93,340,2,65,-30
2.133292198,-43,13,92,340,2,65,-30
2.15722394,-44,14,94,340,2,65,-30
2.178188324,-44,14,93,340,2,65,-30
2.200111389,-44,14,93,340,2,65,-30
2.219060421,-44,14,93,340,2,65,-30
2.23904109,-44,14,94,340,2,65,-30
2.26197648,-44,14,93,340,2,65,-30
2.279953003,-44,14,93,340,2,65,-30
2.301850557,-44,14,93,340,2,65,-30
2.323779583,-44,14,93,340,2,65,-30
2.345721245,-44,14,93,340,2,65,-30
2.36668396,-44,14,93,340,2,65,-30
2.387640715,-44,14,93,340,2,65,-30
2.407582283,-44,14,93,340,2,65,-30
2.427500248,-44,14,93,340,2,65,-30
2.44944334,-44,14,93,340,2,65,-30
